command,repos
array32,multilib
arrow-file-to-stream,extra
arrow-stream-to-file,extra
art,extra
artem,extra
arti,extra
artikulate,extra
artikulate_editor,extra
artist_to_albumartist,extra
aruba2john,extra
as,core
as10k1,extra
as2gbmap,extra
asapcat,extra
asar,extra
asc2xml,extra
ascii,extra
ascii-xfr,extra
ascii85,extra
asciidoc,extra
asciidoc2po,extra
asciidoctor,extra
asciidoctor-pdf,extra
asciidoctor-pdf-optimize,extra
asciinema,extra
asciiquarium,extra
asciitopgm,extra
asd,extra
aseqdump,extra
aseqnet,extra
aseqsend,extra
aserver,extra
asg-hevc,extra
asm_count,extra
asn1Coding,core
asn1Decoding,core
asn1Parser,core
aspell,extra
aspell-import,extra
assembleg,extra
assimp,extra
assistant,extra
assistant-qt5,extra
assistant6,extra
ast-grep,extra
astraceroute,extra
astroid,extra
astromenace,extra
astroterm,extra
astyle,extra
asus-shutdown,extra
asusctl,extra
asusd,extra
asusd-user,extra
asy,extra
async-json-rpc-server,extra
async-service,extra
at,extra
at51,extra
atac,extra
atari-convert-dir,extra
atari-hd-image,extra
atc,extra
atd,extra
atexec.py,extra
atftp,extra
atftpd,extra
atktopbm,extra
atlas,extra
atmaddr,extra
atmarp,extra
atmarpd,extra
atmdiag,extra
atmdump,extra
atmloop,extra
atmsigd,extra
atmswitch,extra
atmtcp,extra
atoc_conv,extra
atomicparsley,extra
atomix,extra
atool,extra
atop,extra
atop-2.13.0,extra
atopacctd,extra
atopcat,extra
atopconvert,extra
atopgpud,extra
atophide,extra
atopsar,extra
atopsar-2.13.0,extra
atq,extra
atril,extra
atril-previewer,extra
atril-thumbnailer,extra
atrm,extra
atrun,extra
atsa,extra
atst,extra
attr,core
attrib.py,extra
atuin,extra
atuin-server,extra
aubio,extra
aubiocut,extra
aubiomfcc,extra
aubionotes,extra
aubioonset,extra
aubiopitch,extra
aubioquiet,extra
aubiotrack,extra
aucat,extra
aucat32,multilib
audacious,extra
audacity,extra
audaconvert,extra
audainfo,extra
audaplay,extra
audaremap,extra
audex,extra
audio-convert,extra
audio-sharing,extra
audiotube,extra
audisp-af_unix,core
audisp-filter,core
audisp-ids,core
audisp-remote,core
audisp-statsd,core
audisp-syslog,core
audispd-zos-remote,core
auditctl,core
auditd,core
auditwheel,extra
audtool,extra
augenrules,core
augmatch,extra
augparse,extra
augprint,extra
augtool,extra
