desktop_id,repos
kcm_colord,extra
kcm_colors,extra
kcm_componentchooser,extra
kcm_cron,extra
kcm_cursortheme,extra
kcm_desktoppaths,extra
kcm_desktoptheme,extra
kcm_disks,extra
kcm_fcitx5,extra
kcm_feedback,extra
kcm_filetypes,extra
kcm_firewall,extra
kcm_fontinst,extra
kcm_fonts,extra
kcm_gamecontroller,extra
kcm_icons,extra
kcm_kaccounts,extra
kcm_kamera,extra
kcm_kded,extra
kcm_kdf,extra
kcm_keyboard,extra
kcm_keys,extra
kcm_kgamma,extra
kcm_krdpserver,extra
kcm_krunnersettings,extra
kcm_kscreen,extra
kcm_kup,extra
kcm_kwin_effects,extra
kcm_kwin_effects_x11,extra
kcm_kwin_scripts,extra
kcm_kwin_scripts_x11,extra
kcm_kwin_virtualdesktops,extra
kcm_kwin_virtualdesktops_x11,extra
kcm_kwindecoration,extra
kcm_kwindecoration_x11,extra
kcm_kwinoptions,extra
kcm_kwinoptions_x11,extra
kcm_kwinrules,extra
kcm_kwinrules_x11,extra
kcm_kwintabbox,extra
kcm_kwintabbox_x11,extra
kcm_kwinxwayland,extra
kcm_landingpage,extra
kcm_lookandfeel,extra
kcm_mediacenter_audiodevice,extra
kcm_mediacenter_bigscreen_settings,extra
kcm_mediacenter_bluetooth,extra
kcm_mediacenter_display,extra
kcm_mediacenter_input,extra
kcm_mediacenter_kdeconnect,extra
kcm_mediacenter_wallpaper,extra
kcm_mediacenter_webapps,extra
kcm_mediacenter_wifi,extra
kcm_mobile_hotspot,extra
kcm_mobile_info,extra
kcm_mobile_power,extra
kcm_mobile_time,extra
kcm_mobile_wifi,extra
kcm_mobile_wired,extra
kcm_mobileshell,extra
kcm_mouse,extra
kcm_navigation,extra
kcm_netpref,extra
kcm_networkmanagement,extra
kcm_nightlight,extra
kcm_nighttime,extra
kcm_notifications,extra
kcm_oxygendecoration,extra
kcm_plasmakeyboard,extra
kcm_plasmalogin,extra
kcm_plasmasearch,extra
kcm_plymouth,extra
kcm_powerdevilprofilesconfig,extra
kcm_printer_manager,extra
kcm_proxy,extra
kcm_pulseaudio,extra
kcm_push_notifications,extra
kcm_qtquicksettings,extra
kcm_recentFiles,extra
kcm_regionandlang,extra
kcm_screenlocker,extra
kcm_sddm,extra
kcm_smserver,extra
kcm_solid_actions,extra
kcm_soundtheme,extra
kcm_speeddial,extra
kcm_splashscreen,extra
kcm_style,extra
kcm_tablet,extra
kcm_touchpad,extra
kcm_touchscreen,extra
kcm_trash,extra
kcm_updates,extra
kcm_users,extra
kcm_virtualkeyboard,extra
kcm_wacomtablet,extra
kcm_wallpaper,extra
kcm_waydroidintegration,extra
kcm_webshortcuts,extra
kcm_workspace,extra
kcmspellchecking,extra
kdbg,extra
kde_wacom_tabletfinder,extra
kdesystemsettings,extra
kdiskmark,extra
keepass,extra
kernelshark,extra
kew,extra
kfmclient,extra
kfmclient_dir,extra
kfmclient_html,extra
kfmclient_war,extra
khal,extra
kitty,extra
kitty-open,extra
klavaro,extra
klayoutEditor,extra
klayoutViewer,extra
kleopatra_import,extra
klystrack-plus,extra
kmail_view,extra
kodi,extra
konqbrowser,extra
konsolekalendar,extra
korganizer-import,extra
korganizer-view,extra
krita_brush,extra
krita_csv,extra
krita_exr,extra
krita_gif,extra
krita_heif,extra
krita_heightmap,extra
krita_jp2,extra
krita_jpeg,extra
krita_jxl,extra
krita_kra,extra
krita_krz,extra
krita_ora,extra
krita_pdf,extra
krita_png,extra
krita_psd,extra
krita_qimageio,extra
krita_raw,extra
krita_rgbe,extra
krita_spriter,extra
krita_svg,extra
krita_tga,extra
krita_tiff,extra
krita_webp,extra
krita_xcf,extra
